
	Du är en hjälpsam assistent vars uppgift är att skriva en Wikipedia-artikel om Elizabeth II:s död och begravning, skriv artikeln på svenska.
	Du får ENDAST använda nedanstående egenskapsvärdepar som din informationskälla.
	Du behöver inte förklara varför du inte kan skapa en fullständig wikipedia artikel eller om du inte vet så får du gissa så bra du kan. 
 	Jag vill ENDAST ha Wikipedia artikeln, jag behöver ingen information om hur du har skapat artikeln. 
  	Lägg inte till några nya källor. Skriv artikeln så likt Wikipedia som möjligt. Skriv artikeln så utförligt som möjligt.
	Svara på svenska.  

	type: SpatialThing
wikiPageWikiLink: Wedding_of_Princess_Anne_and_Mark_Phillips
wikiPageWikiLink: Queen_of_Antigua_and_Barbuda
wikiPageWikiLink: Queen_of_Jamaica
wikiPageWikiLink: Queen_of_Papua_New_Guinea
wikiPageWikiLink: Queen_of_Saint_Lucia
wikiPageWikiLink: Queen_of_the_Bahamas
wikiPageWikiLink: Princess_Margaret
wikiPageWikiLink: Vaughan_Williams
wikiPageWikiLink: Special_address_by_the_British_monarch
wikiPageWikiLink: Book_of_condolence
wikiPageWikiLink: British_throne
wikiPageWikiLink: Kontakion_of_the_Departed
wikiPageWikiLink: Palace_of_Holyroodhouse
wikiPageWikiLink: Sir_Keir_Starmer
wikiPageWikiLink: Wanamaker_Cross_of_Westminster
wikiPageWikiLink: Belarus–United_Kingdom_relations
wikiPageWikiLink: Guru_Rinpoche
wikiPageWikiLink: Queen_of_New_Zealand
wikiPageWikiLink: Baroness_Scotland
wikiPageWikiLink: Choir_of_Westminster_Abbey
wikiPageWikiLink: Minute's_silence
wikiPageWikiLink: Queen_of_Solomon_Islands
wikiPageWikiLink: National_anthem_of_the_United_kingdom
wikiPageWikiLink: Zhabdrung
wikiPageWikiLink: Sir_Timothy_Laurence
wikiPageWikiLink: Lay_in_state
wikiPageWikiLink: All_People_that_on_Earth_do_Dwell
wikiPageWikiLink: Moderator_of_the_Church_of_Scotland
wikiPageWikiLink: Sovereign's_Piper
wikiPageWikiLink: Henry_Walford_Davies
wikiPageWikiLink: State_Gun_Carriage_of_the_Royal_Navy
wikiPageWikiLink: Welsh_flag
wikiPageWikiLink: File:Elizabeth_II's_coffin_leaves_Holyrood_Palace.jpg
wikiPageWikiLink: File:AFF_Royal_Navy_Photos_(52402856485).jpg
wikiPageWikiLink: File:Accession_Council_of_King_Charles_III_-_55.jpg
wikiPageWikiLink: File:Accession_Council_of_King_Charles_III_-_85.jpg
wikiPageWikiLink: File:BBC_Queen_Elizabeth_II_Coat_of_Arms.png
wikiPageWikiLink: File:Closed_for_the_Queen's_funeral_(geograph_7285643).jpg
wikiPageWikiLink: File:Elizabeth_II_Lying-in-State_-_03.jpg
wikiPageWikiLink: File:Elizabeth_II_national_mourning_period_-_03.jpg
wikiPageWikiLink: File:Floral_tributes_to_Elizabeth_II_in_Embassy_of_United_Kingdom_in_Berlin_(4).jpg
wikiPageWikiLink: File:Gun_Salute_for_Elizabeth_II_in_Winnipeg.jpg
wikiPageWikiLink: File:King_Charles_III_in_Cardiff_(geograph_7290021).jpg
wikiPageWikiLink: File:List_of_dignitaries_at_the_state_funeral_of_Elizabeth_II_on_a_map.png
wikiPageWikiLink: File:Memorial_at_the_Death_of_Queen_Elizabeth_II_along_Chelsea_Bridge_Road_(02).jpg
wikiPageWikiLink: File:Motion_of_Condolence-_Her_Majesty_Queen_Elizabeth_II_-_12_September_2022.webm
wikiPageWikiLink: File:Mourn_Queen_Elizabeth_II_outside_Consulate_General_of_the_United_Kingdom,_Hong_Kong(01).jpg
wikiPageWikiLink: File:Ninety-six_gun_salute_in_Saint_Lucia_following_the_Queen's_passing.jpg
wikiPageWikiLink: File:Opera_House_-_Queen.tif
wikiPageWikiLink: File:Procession_to_Lying-in-State_of_Elizabeth_II_at_Westminster_Hall_-_68.jpg
wikiPageWikiLink: File:QE2_RIP_-_03.jpg
wikiPageWikiLink: File:Queen_Elizabeth_Death_Certificate.webp
wikiPageWikiLink: File:Queen_Elizabeth_II's_Funeral_and_Procession_(19.Sep.2022)_-_07.jpg
wikiPageWikiLink: File:Queen_Elizabeth_II's_Funeral_and_Procession_(19.Sep.2022)_-_27.jpg
wikiPageWikiLink: File:Queen_Elizabeth_II_Funeral_19_09_2022-19_(52368547372).jpg
wikiPageWikiLink: File:Queen_Elizabeth_Ottawa_parade_mosbo6.jpg
wikiPageWikiLink: File:Royal_Standard_of_New_Zealand_at_State_Memorial_Service_for_Queen_Elizabeth_II.jpg
wikiPageWikiLink: File:Salome_Zourabichvili_at_British_Embassy.jpg
wikiPageWikiLink: File:Welsh_police_in_Sloane_Square_London_prior_to_the_funeral_of_Elizabeth_II.jpg
wikiPageWikiLink: Pine_fir
wikiPageExternalLink: watch%3Fv=FA6iVNGfZcg
wikiPageExternalLink: watch%3Fv=G1mi7J-VtHk
wikiPageExternalLink: watch%3Fv=K_H9eobuKnw
wikiPageExternalLink: watch%3Fv=Mxsny_z6cBQ
wikiPageExternalLink: watch%3Fv=QMal0BBkhxU
wikiPageExternalLink: watch%3Fv=TN2vT_jpW1o
wikiPageExternalLink: watch%3Fv=V_gy9DFtw5U
wikiPageExternalLink: watch%3Fv=jYcs0SvuS9o
wikiPageExternalLink: watch%3Fv=pscny8yL_ww
wikiPageExternalLink: watch%3Fv=rQNPKyLmvAc
wikiPageExternalLink: watch%3Fv=sLIJwAjhLvc
wikiPageExternalLink: her-majesty-the-queen
wikiPageExternalLink: announcement-death-queen
wikiPageExternalLink: arrangements-funeral-her-majesty-queen
wikiPageExternalLink: committal_of_her_majesty_queen_elizabeth_ii_-_order_of_service.pdf
wikiPageExternalLink: order_of_service_1.pdf
wikiPageExternalLink: state_funeral_of_her_majesty_queen_elizabeth.pdf
wikiPageExternalLink: the_order_of_service_for_the_service_of_reflection_at_st_llandaff_cathedral.pdf
wikiPageExternalLink: state-funeral-and-committal-service-her-majesty-queen
wikiPageExternalLink: state-funeral-her-majesty-queen-0
wikiPageExternalLink: hermajesty
wikiPageExternalLink: observances
wikiPageExternalLink: death-her-majesty-queen
wikiPageExternalLink: her-majesty-the-queen-1926-2022
wikiPageExternalLink: her-majesty-queen-elizabeth-ii
wikiPageExternalLink: Service_Of_Reflection_-_Order_of_Service.pdf
wikiPageExternalLink: commemoration-her-majesty-the-queen.html
wikiPageExternalLink: sovereign
thumbnail: Queen_Elizabeth_II's_Funeral_and_Procession_(19.Sep.2022)_-_09.jpg?width=300
align: right
cause: Old age
frame: yes
from: TheQueue.map
participants: List_of_dignitaries_at_the_state_funeral_of_Elizabeth_II
text: The route of the Queue along the River Thames. The front was in Westminster Hall , and at its greatest extent the back was in Southwark Park .
title: The Queue
video: Announcement of the death of the Queen on the BBC's television channels read by Huw Edwards
width: 210
zoom: 12
headerimage: 210
point: 57.04083333333333 -3.23
abstract: On 8 September 2022, at 15:10 BST, Elizabeth II, Queen of the United Kingdom and the other Commonwealth realms, and the longest-reigning British monarch, died of old age at Balmoral Castle in Scotland, at the age of 96. The Queen's death was publicly announced at 18:30. She was succeeded by her eldest son, Charles III. The death of the Queen set in motion Operation London Bridge, a collection of plans including arrangements for her state funeral, and supported by Operation Unicorn, which set protocols for her death occurring in Scotland. The United Kingdom observed a national mourning period of 10 days. The Queen lay in state in Westminster Hall from 14 to 19 September, during which time an estimated 250,000 people queued to pay their respects. The state funeral service was held at Westminster Abbey on 19 September, followed on the same day by a committal service at St George's Chapel at Windsor Castle. The Queen was interred with her husband Philip in the King George VI Memorial Chapel later that evening. The occasion of her state funeral was a public holiday in the UK and several Commonwealth states. The state funeral was one of the United Kingdom's most watched special television broadcasts, surpassing the wedding of Prince William and Catherine Middleton, the previous most watched royal event of the 21st century.
frameLatitude: 51.5
frameLongitude: -0.09
wasDerivedFrom: Death_and_state_funeral_of_Elizabeth_II?oldid=1124840139&ns=0
wikiPageLength: 223896
isPrimaryTopicOf: Death_and_state_funeral_of_Elizabeth_II
geometry: POINT(-3.2300000190735 57.040832519531)
	
